키,몸무게,목둘레,허리둘레,BMI,체지방율,기초대사량,기초대사량평가,머리수직길이,머리두께,머리너비,발너비,발직선길이,나이,성별
1556.0,65.3,342.0,832.0,26.970810396441998,41.4,1196.0,표준이하,223.0,175.0,157.0,88.0,223.0,16,여
1630.0,54.6,330.0,693.0,20.550265346832774,30.2,1193.0,표준,236.0,171.0,156.0,95.0,233.0,16,여
1651.0,64.1,340.0,720.0,23.51602336340767,36.9,1244.0,표준이하,218.0,178.0,160.0,88.0,240.0,16,여
1581.0,47.9,320.0,633.0,19.163365086909263,23.8,1159.0,표준,230.0,179.0,155.0,82.0,216.0,15,여
1646.0,57.3,330.0,684.0,21.14924947846615,31.1,1223.0,표준이하,220.0,181.0,152.0,85.0,236.0,16,여
1666.0,58.1,320.0,698.0,20.932742845037176,32.7,1215.0,표준이하,229.0,179.0,157.0,89.0,250.0,16,여
1621.0,53.8,320.0,646.0,20.47463865878177,31.6,1165.0,표준이하,216.0,169.0,155.0,95.0,248.0,16,여
1576.0,47.8,303.0,615.0,19.244891648844337,34.3,1048.0,표준이하,221.0,173.0,152.0,86.0,241.0,16,여
1660.0,62.2,327.0,726.0,22.57221657715198,27.5,1345.0,표준,216.0,178.0,151.0,87.0,243.0,16,여
1605.0,62.4,335.0,796.0,24.223367397443734,30.8,1303.0,표준이하,216.0,181.0,163.0,94.0,247.0,16,여
1520.0,54.0,340.0,708.0,23.372576177285318,26.1,1232.0,표준,227.0,170.0,153.0,91.0,229.0,15,여
1706.0,55.0,349.0,698.0,18.897512262767503,8.0,1463.0,표준,238.0,183.0,168.0,97.0,237.0,16,남
1770.0,61.0,340.0,725.0,19.4707778735357,12.5,1523.0,표준,236.0,176.0,146.0,93.0,230.0,16,남
1627.0,48.9,300.0,627.0,18.472843597724175,12.4,1296.0,표준,224.0,184.0,145.0,92.0,228.0,16,남
1770.0,86.6,400.0,960.0,27.642120718822813,28.3,1712.0,표준이하,244.0,197.0,177.0,103.0,265.0,16,남
1683.0,55.3,330.0,673.0,19.523465051408845,46.0,1015.0,표준이하,229.0,194.0,151.0,96.0,253.0,16,남
1630.0,68.0,357.0,825.0,25.593737061989533,23.5,1493.0,표준이하,224.0,192.0,164.0,94.0,244.0,16,남
1643.0,53.7,335.0,686.0,19.892948523939516,8.4,1432.0,표준,227.0,181.0,157.0,91.0,257.0,16,남
1805.0,76.6,375.0,790.0,23.511176249414905,17.8,1730.0,표준,231.0,200.0,165.0,98.0,259.0,16,남
1789.0,71.9,395.0,785.0,22.465092402143274,13.6,1712.0,표준,236.0,196.0,149.0,102.0,260.0,16,남
1790.0,62.3,348.0,710.0,19.443837583096656,10.5,1574.0,표준,239.0,187.0,154.0,100.0,268.0,16,남
1697.0,58.3,337.0,710.0,20.244398152794158,14.3,1449.0,표준,238.0,182.0,155.0,100.0,248.0,15,남
1627.0,51.0,343.0,668.0,19.26615589946693,16.4,1291.0,표준,236.0,180.0,159.0,86.0,229.0,16,남
1706.0,58.4,355.0,705.0,20.065722111738587,7.9,1532.0,표준,235.0,188.0,155.0,99.0,242.0,16,남
1808.0,75.3,380.0,812.0,23.03552549142454,13.6,1775.0,표준이하,248.0,189.0,162.0,100.0,256.0,16,남
1575.0,60.1,318.0,753.0,24.227765180146136,33.4,1235.0,표준이하,215.0,178.0,157.0,96.0,222.0,16,여
1555.0,53.5,323.0,712.0,22.125494980407566,36.7,1101.0,표준이하,202.0,172.0,147.0,83.0,217.0,17,여
1646.0,57.9,324.0,689.0,21.370707588188306,23.7,1324.0,표준,210.0,172.0,156.0,96.0,253.0,17,여
1542.0,51.8,325.0,690.0,21.785172960815284,28.7,1167.0,표준,225.0,177.0,147.0,96.0,234.0,17,여
1604.0,59.2,334.0,746.0,23.00980715294059,32.0,1239.0,표준이하,224.0,182.0,153.0,88.0,232.0,17,여
1599.0,55.1,310.0,685.0,21.550367040688734,30.0,1203.0,표준,230.0,181.0,156.0,95.0,233.0,17,여
1640.0,45.1,304.0,596.0,16.768292682926827,21.2,1138.0,표준,231.0,180.0,163.0,88.0,227.0,17,여
1570.0,44.2,317.0,590.0,17.93176193760396,20.9,1125.0,표준,215.0,175.0,158.0,92.0,236.0,17,여
1690.0,53.2,315.0,680.0,18.62679878155527,23.1,1253.0,표준,227.0,181.0,153.0,88.0,237.0,17,여
1634.0,55.0,336.0,717.0,20.59959040523514,30.7,1193.0,표준,240.0,186.0,149.0,93.0,232.0,17,여
1664.0,54.6,303.0,705.0,19.719050480769226,30.2,1193.0,표준,231.0,173.0,153.0,90.0,245.0,17,여
1605.0,63.3,363.0,752.0,24.57274288875302,35.4,1253.0,표준이하,227.0,180.0,151.0,90.0,226.0,17,여
1615.0,52.9,,,20.281992542821268,22.7,1253.0,표준,209.0,185.0,148.0,90.0,230.0,17,여
1609.0,51.5,320.0,705.0,19.892764480097775,29.8,1151.0,표준,220.0,170.0,155.0,88.0,236.0,17,여
1586.0,78.4,380.0,830.0,31.168054652229706,39.3,1398.0,표준이하,240.0,175.0,158.0,102.0,234.0,17,여
1575.0,51.0,322.0,725.0,20.559334845049133,32.5,1114.0,표준이하,210.0,175.0,156.0,88.0,229.0,17,여
1626.0,54.3,320.0,700.0,20.53802825851136,28.1,1213.0,표준,218.0,149.0,135.0,96.0,243.0,17,여
1598.0,49.2,321.0,690.0,19.266887113272062,25.9,1157.0,표준,232.0,173.0,152.0,88.0,231.0,16,여
1621.0,71.8,340.0,811.0,27.32488951116229,37.6,1337.0,표준이하,221.0,178.0,151.0,97.0,231.0,17,여
1621.0,53.5,334.0,680.0,20.3604678112421,18.2,1316.0,표준,225.0,185.0,147.0,102.0,231.0,17,여
1594.0,44.6,310.0,638.0,17.553277740082397,28.6,1058.0,표준,194.0,172.0,141.0,85.0,219.0,17,여
1680.0,56.3,321.0,700.0,19.947562358276645,30.4,1216.0,표준,225.0,183.0,152.0,95.0,240.0,17,여
1639.0,54.5,325.0,685.0,20.287970052722663,29.0,1206.0,표준,223.0,178.0,147.0,91.0,231.0,17,여
1597.0,52.3,314.0,702.0,20.506514837424117,26.2,1204.0,표준,223.0,169.0,153.0,97.0,229.0,17,여
1583.0,47.7,314.0,610.0,19.03516077527776,24.4,1149.0,표준,218.0,181.0,149.0,88.0,235.0,17,여
1628.0,56.8,338.0,725.0,21.430856811692188,24.4,1297.0,표준,235.0,186.0,143.0,88.0,244.0,17,여
1545.0,45.1,314.0,670.0,18.893811334192144,24.4,1106.0,표준,228.0,181.0,153.0,84.0,213.0,17,여
